District/Taluk/Hobli,Normal (mm),Actual (mm),% Deviation,Class
BENGALURU URBAN,846,1456,72,LE
Anekal,902,1427,58,E
Anekal_1,902,1387,54,E
Attibele_1,824,1215,48,E
Jigani_1,845,1445,71,LE
Sarjapura_1,748,1438,92,LE
Anekal_2,881,1473,67,LE
Jigani_2,865,1625,88,LE
Attibele_2,857,1418,66,LE
Sarjapura_1,855,1507,76,LE
Sarjapura_3,814,1225,51,E
Bengaluru North,1004,1383,38,E
Bengaluru North_1,1004,1401,39,E
Dasanapura_1,896,1407,57,E
Yashavantapura_1,819,1249,53,E
Bengaluru North_2,854,1254,47,E
Yashavantapura_2,866,1369,58,E
Dasanapura_2,872,1443,65,LE
Dasanapura_3,900,1428,59,E
Bengaluru South,820,1495,82,LE
Beguru_3,820,1477,80,LE
Kengeri_1,905,1581,75,LE
Tavarekere_1,734,1586,116,LE
Uttarahalli_4,905,1608,78,LE
Uttarahalli_1,886,1349,52,E
Uttarahalli_2,872,1531,76,LE
Uttarahalli_3,863,1628,89,LE
Uttarahalli_5,941,1331,41,E
Beguru_1,912,1438,58,E
Beguru_2,875,1371,57,E
Kengeri_2,878,1580,80,LE
Kengeri_3,860,1434,67,LE
Kengeri_4,852,1547,82,LE
Tavarekere_2,961,1336,39,E
Tavarekere_3,871,1555,79,LE
Bengaluru East,815,1424,75,LE
Mahadevpura_1,815,1104,35,E
Bidarahalli_2,828,1320,59,E
Varturu_1,818,1589,94,LE
K R Pura_2,855,1229,44,E
K R Pura_3,827,1407,70,LE
Varturu_2,881,1398,59,E
Bidarahalli_1,821,1450,77,LE
Mahadevpura_2,882,1134,29,E
Marathahalli,891,1839,106,LE
Bidharahalli_3,799,1612,102,LE
Yelahanka,752,1543,105,LE
